signal_date,symbol,group,score,entry,stop,target,rr,status,resolved_date,exit_price,exit_reason,ret,days_held
2026-09-09,AMD,Semis,93.18180930777852,521.0999755859375,506.3499786376953,562.3999670410157,2.8,closed,2026-09-10,506.3499786376953,stop,-0.0283055030498839,1.0
2026-09-09,COP,Energy,99.99999999987756,136.52999877929688,134.27299957275392,142.84959655761716,2.8,closed,2026-09-16,134.27299957275392,stop,-0.016531159647861976,7.0
2026-09-09,CVX,Energy,91.94899202267202,213.8099975585937,211.104997253418,221.38399841308595,2.8,closed,2026-09-16,211.104997253418,stop,-0.012651421056372297,7.0
2026-09-10,AMD,Semis,97.03086982215274,503.6000061035156,487.4040100097656,548.9487951660157,2.8,closed,2026-09-14,487.4040100097656,stop,-0.0321604366510291,4.0
2026-09-10,COP,Energy,99.99999999986191,137.0399932861328,135.16299438476562,142.29559020996095,2.8,closed,2026-09-16,135.16299438476562,stop,-0.013696723535647768,6.0
2026-09-10,CVX,Energy,97.22393710446693,212.759994506836,209.95099487304688,220.6251934814453,2.8,open,,,,,
2026-09-10,XLE,Energy,87.15962954006055,64.93000030517578,64.16200103759766,67.08039825439451,2.8,closed,2026-09-16,64.16200103759766,stop,-0.011828111257792488,6.0
2026-09-11,AMD,Semis,81.32282571894352,516.1300048828125,499.060009765625,563.9259912109375,2.8,closed,2026-09-14,499.060009765625,stop,-0.03307305321469,3.0
2026-09-11,COP,Energy,99.99999999987676,137.35000610351562,135.44400634765626,142.68680541992185,2.8,closed,2026-09-16,135.44400634765626,stop,-0.013876954285847558,5.0
2026-09-14,AMD,Semis,78.29384981110265,493.4100036621094,475.71800842285154,542.9475903320313,2.8,open,,,,,
2026-09-14,COP,Energy,99.9999999998884,136.6699981689453,134.8479965209961,141.7716027832031,2.8,closed,2026-09-16,134.8479965209961,stop,-0.013331394397890682,2.0
2026-09-14,CVX,Energy,75.79183161097583,212.1699981689453,209.30999908447265,220.1779956054688,2.8,open,,,,,
2026-09-14,XLE,Energy,92.0470262383542,64.52999877929688,63.74399948120117,66.73079681396484,2.8,closed,2026-09-16,63.74399948120117,stop,-0.01218037057127413,2.0
2026-09-15,AMD,Semis,92.44099144365298,504.2000122070313,487.67201538085936,550.4784033203125,2.8,open,,,,,
2026-09-15,COP,Energy,99.99999999984809,141.22000122070312,139.09400024414063,147.1728039550781,2.8,closed,2026-09-16,139.09400024414063,stop,-0.015054531639890812,1.0
2026-09-15,CVX,Energy,87.0404614608041,217.7700042724609,214.6700042724609,226.4500042724609,2.8,closed,2026-09-16,214.6700042724609,stop,-0.014235201998349996,1.0
2026-09-15,LRCX,Semis,77.97167586932785,270.8699951171875,258.8889984130859,304.41678588867194,2.8,open,,,,,
2026-09-15,QCOM,Semis,95.85177079572274,187.8000030517578,183.6439208984375,199.4370330810547,2.8,closed,2026-09-16,183.6439208984375,stop,-0.022130362544109723,1.0
2026-09-15,XLE,Energy,87.31789152336309,65.93000030517578,65.10900077819824,68.22879898071291,2.8,closed,2026-09-16,65.10900077819824,stop,-0.012452594011486648,1.0
2026-09-16,AMD,Semis,99.99999999982764,512.5,495.3170043945312,560.6123876953126,2.8,open,,,,,
2026-09-16,LRCX,Semis,83.40457640256618,269.2300109863281,257.2630157470703,302.73759765625,2.8,open,,,,,
2026-09-16,META,Mag7,83.39098940324784,673.3099975585938,658.9289855957031,713.5768310546875,2.8,open,,,,,
2026-09-16,MU,Semis,83.79787303026622,926.5499877929688,897.3449890136719,1008.323984375,2.8,open,,,,,
